path,condition,stage,size_bytes
benchmarks/synbios_moe/probe_batch_benchmark/multi5_permute/20260723T060430Z/operation_logs/synbios_q_probe_batch_benchmark_q_a_training/20260723-140512/events.out.tfevents.1784786712.ml-ubuntu22-04-desktop-v3-2-128gb-25m.18645.0,multi5_permute,other,19020
benchmarks/synbios_moe/probe_batch_benchmark/multi5_permute/20260723T060430Z/operation_logs/synbios_q_probe_batch_benchmark_q_a_validation/20260723-140541/events.out.tfevents.1784786741.ml-ubuntu22-04-desktop-v3-2-128gb-25m.19216.0,multi5_permute,other,19020
benchmarks/synbios_moe/probe_batch_benchmark/multi5_permute/20260723T060430Z/operation_logs/synbios_q_probe_batch_benchmark_q_b_training/20260723-140512/events.out.tfevents.1784786712.ml-ubuntu22-04-desktop-v3-2-128gb-25m.18647.0,multi5_permute,other,19020
benchmarks/synbios_moe/probe_batch_benchmark/multi5_permute/20260723T060430Z/operation_logs/synbios_q_probe_batch_benchmark_q_b_validation/20260723-140540/events.out.tfevents.1784786740.ml-ubuntu22-04-desktop-v3-2-128gb-25m.19218.0,multi5_permute,other,19020
benchmarks/synbios_moe/probe_batch_benchmark/multi5_permute/20260723T060600Z/operation_logs/synbios_p_probe_batch_benchmark_p_a_training/20260723-140718/events.out.tfevents.1784786838.ml-ubuntu22-04-desktop-v3-2-128gb-25m.20347.0,multi5_permute,other,34054
benchmarks/synbios_moe/probe_batch_benchmark/multi5_permute/20260723T060600Z/operation_logs/synbios_p_probe_batch_benchmark_p_a_validation/20260723-140814/events.out.tfevents.1784786894.ml-ubuntu22-04-desktop-v3-2-128gb-25m.21013.0,multi5_permute,other,29367
benchmarks/synbios_moe/probe_batch_benchmark/multi5_permute/20260723T060600Z/operation_logs/synbios_p_probe_batch_benchmark_p_b_training/20260723-140718/events.out.tfevents.1784786838.ml-ubuntu22-04-desktop-v3-2-128gb-25m.20349.0,multi5_permute,other,34054
benchmarks/synbios_moe/probe_batch_benchmark/multi5_permute/20260723T060600Z/operation_logs/synbios_p_probe_batch_benchmark_p_b_validation/20260723-140814/events.out.tfevents.1784786894.ml-ubuntu22-04-desktop-v3-2-128gb-25m.21015.0,multi5_permute,other,29367
benchmarks/synbios_moe/probe_batch_benchmark/multi5_permute/20260723T060600Z/operation_logs/synbios_q_probe_batch_benchmark_q_a_training/20260723-140718/events.out.tfevents.1784786838.ml-ubuntu22-04-desktop-v3-2-128gb-25m.20348.0,multi5_permute,other,34850
benchmarks/synbios_moe/probe_batch_benchmark/multi5_permute/20260723T060600Z/operation_logs/synbios_q_probe_batch_benchmark_q_a_validation/20260723-140814/events.out.tfevents.1784786894.ml-ubuntu22-04-desktop-v3-2-128gb-25m.21014.0,multi5_permute,other,36265
benchmarks/synbios_moe/probe_batch_benchmark/multi5_permute/20260723T060600Z/operation_logs/synbios_q_probe_batch_benchmark_q_b_training/20260723-140718/events.out.tfevents.1784786838.ml-ubuntu22-04-desktop-v3-2-128gb-25m.20350.0,multi5_permute,other,34850
benchmarks/synbios_moe/probe_batch_benchmark/multi5_permute/20260723T060600Z/operation_logs/synbios_q_probe_batch_benchmark_q_b_validation/20260723-140814/events.out.tfevents.1784786894.ml-ubuntu22-04-desktop-v3-2-128gb-25m.21016.0,multi5_permute,other,36265
formal_runs/synbios_moe/operation_logs/synbios_prepare_multi5_permute/20260721-143713/events.out.tfevents.1784615833.ml-ubuntu22-04-desktop-v3-2-128gb-25m.39621.0,multi5_permute,other,1278
formal_runs/synbios_moe/operation_logs/synbios_prepare_single/20260721-035827/events.out.tfevents.1784577507.ml-ubuntu22-04-desktop-v3-2-128gb-25m.147532.0,single,other,1278
formal_runs/synbios_moe/results/multi5_permute_cloze_eval/full_500k/operation_logs/synbios_cloze_evaluate_shard_0/20260721-181213/events.out.tfevents.1784628733.ml-ubuntu22-04-desktop-v3-2-128gb-25m.76167.0,multi5_permute,other,41474
formal_runs/synbios_moe/results/multi5_permute_cloze_eval/full_500k/operation_logs/synbios_cloze_evaluate_shard_1/20260721-181213/events.out.tfevents.1784628733.ml-ubuntu22-04-desktop-v3-2-128gb-25m.76176.0,multi5_permute,other,41474
formal_runs/synbios_moe/results/multi5_permute_cloze_eval/full_500k/operation_logs/synbios_cloze_evaluate_shard_2/20260721-181213/events.out.tfevents.1784628733.ml-ubuntu22-04-desktop-v3-2-128gb-25m.76185.0,multi5_permute,other,41474
formal_runs/synbios_moe/results/multi5_permute_cloze_eval/full_500k/operation_logs/synbios_cloze_evaluate_shard_3/20260721-181213/events.out.tfevents.1784628733.ml-ubuntu22-04-desktop-v3-2-128gb-25m.76188.0,multi5_permute,other,41474
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/diagnostics/ground_truth_first_whole_rank_matched_pilot4000_20260725T100100Z/operation_logs/synbios_p_ground_truth_first_whole_p_birth_city/20260725-180121/events.out.tfevents.1784973681.ml-ubuntu22-04-desktop-v3-2-128gb-25m.135517.0,multi5_permute,probe_formal,49408
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/diagnostics/ground_truth_first_whole_rank_matched_pilot4000_20260725T100100Z/operation_logs/synbios_p_ground_truth_first_whole_p_birth_city/20260725-181042/events.out.tfevents.1784974242.ml-ubuntu22-04-desktop-v3-2-128gb-25m.139367.0,multi5_permute,probe_formal,105323
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/diagnostics/ground_truth_first_whole_rank_matched_pilot4000_20260725T100100Z/operation_logs/synbios_p_ground_truth_first_whole_p_company/20260725-180121/events.out.tfevents.1784973681.ml-ubuntu22-04-desktop-v3-2-128gb-25m.135520.0,multi5_permute,probe_formal,46464
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/diagnostics/ground_truth_first_whole_rank_matched_pilot4000_20260725T100100Z/operation_logs/synbios_p_ground_truth_first_whole_p_company/20260725-181042/events.out.tfevents.1784974242.ml-ubuntu22-04-desktop-v3-2-128gb-25m.139370.0,multi5_permute,probe_formal,105323
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/diagnostics/ground_truth_first_whole_rank_matched_pilot4000_20260725T100100Z/operation_logs/synbios_p_ground_truth_first_whole_p_company_city/20260725-183838/events.out.tfevents.1784975918.ml-ubuntu22-04-desktop-v3-2-128gb-25m.147810.0,multi5_permute,probe_formal,138092
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/diagnostics/ground_truth_first_whole_rank_matched_pilot4000_20260725T100100Z/operation_logs/synbios_p_ground_truth_first_whole_p_major/20260725-180121/events.out.tfevents.1784973681.ml-ubuntu22-04-desktop-v3-2-128gb-25m.135519.0,multi5_permute,probe_formal,49408
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/diagnostics/ground_truth_first_whole_rank_matched_pilot4000_20260725T100100Z/operation_logs/synbios_p_ground_truth_first_whole_p_major/20260725-181042/events.out.tfevents.1784974242.ml-ubuntu22-04-desktop-v3-2-128gb-25m.139369.0,multi5_permute,probe_formal,105419
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/diagnostics/ground_truth_first_whole_rank_matched_pilot4000_20260725T100100Z/operation_logs/synbios_p_ground_truth_first_whole_p_university/20260725-180121/events.out.tfevents.1784973681.ml-ubuntu22-04-desktop-v3-2-128gb-25m.135518.0,multi5_permute,probe_formal,46428
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/diagnostics/ground_truth_first_whole_rank_matched_pilot4000_20260725T100100Z/operation_logs/synbios_p_ground_truth_first_whole_p_university/20260725-181042/events.out.tfevents.1784974242.ml-ubuntu22-04-desktop-v3-2-128gb-25m.139368.0,multi5_permute,probe_formal,105323
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/diagnostics/operation_logs/synbios_q_bad_case_route_validation_bad_case_routes/20260724-003604/events.out.tfevents.1784824564.ml-ubuntu22-04-desktop-v3-2-128gb-25m.227140.0,multi5_permute,probe_formal,89777
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/diagnostics/operation_logs/synbios_q_oracle_first_token_validation_oracle_first_token/20260724-003604/events.out.tfevents.1784824564.ml-ubuntu22-04-desktop-v3-2-128gb-25m.227135.0,multi5_permute,probe_formal,91247
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/operation_logs/synbios_probe_pipeline_probe_pipeline/20260723-211027/events.out.tfevents.1784812227.ml-ubuntu22-04-desktop-v3-2-128gb-25m.161782.0,multi5_permute,probe_formal,7896661
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/router/operation_logs/synbios_analyze_birth_city/20260724-003348/events.out.tfevents.1784824428.ml-ubuntu22-04-desktop-v3-2-128gb-25m.225569.0,multi5_permute,probe_formal,3328
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/router/operation_logs/synbios_analyze_birth_date/20260724-003339/events.out.tfevents.1784824419.ml-ubuntu22-04-desktop-v3-2-128gb-25m.225410.0,multi5_permute,probe_formal,3328
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/router/operation_logs/synbios_analyze_company/20260724-003413/events.out.tfevents.1784824453.ml-ubuntu22-04-desktop-v3-2-128gb-25m.226026.0,multi5_permute,probe_formal,3328
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/router/operation_logs/synbios_analyze_company_city/20260724-003422/events.out.tfevents.1784824462.ml-ubuntu22-04-desktop-v3-2-128gb-25m.226208.0,multi5_permute,probe_formal,3328
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/router/operation_logs/synbios_analyze_major/20260724-003405/events.out.tfevents.1784824445.ml-ubuntu22-04-desktop-v3-2-128gb-25m.225864.0,multi5_permute,probe_formal,3328
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/router/operation_logs/synbios_analyze_university/20260724-003356/events.out.tfevents.1784824436.ml-ubuntu22-04-desktop-v3-2-128gb-25m.225699.0,multi5_permute,probe_formal,3328
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_p_probe_p_birth_city_first/20260723-211030/events.out.tfevents.1784812230.ml-ubuntu22-04-desktop-v3-2-128gb-25m.161858.0,multi5_permute,probe_formal,154775
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_p_probe_p_birth_city_whole/20260723-212544/events.out.tfevents.1784813144.ml-ubuntu22-04-desktop-v3-2-128gb-25m.167401.0,multi5_permute,probe_formal,427188
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_p_probe_p_birth_date_first/20260723-211030/events.out.tfevents.1784812230.ml-ubuntu22-04-desktop-v3-2-128gb-25m.161856.0,multi5_permute,probe_formal,154773
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_p_probe_p_company_city_first/20260723-231400/events.out.tfevents.1784819640.ml-ubuntu22-04-desktop-v3-2-128gb-25m.195798.0,multi5_permute,probe_formal,155338
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_p_probe_p_company_city_whole/20260723-233240/events.out.tfevents.1784820760.ml-ubuntu22-04-desktop-v3-2-128gb-25m.201569.0,multi5_permute,probe_formal,436330
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_p_probe_p_company_first/20260723-223111/events.out.tfevents.1784817071.ml-ubuntu22-04-desktop-v3-2-128gb-25m.186284.0,multi5_permute,probe_formal,154889
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_p_probe_p_company_whole/20260723-224653/events.out.tfevents.1784818013.ml-ubuntu22-04-desktop-v3-2-128gb-25m.189688.0,multi5_permute,probe_formal,434412
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_p_probe_p_major_first/20260723-221035/events.out.tfevents.1784815835.ml-ubuntu22-04-desktop-v3-2-128gb-25m.181578.0,multi5_permute,probe_formal,154725
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_p_probe_p_major_whole/20260723-222906/events.out.tfevents.1784816946.ml-ubuntu22-04-desktop-v3-2-128gb-25m.185652.0,multi5_permute,probe_formal,427190
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_p_probe_p_university_first/20260723-212846/events.out.tfevents.1784813326.ml-ubuntu22-04-desktop-v3-2-128gb-25m.168918.0,multi5_permute,probe_formal,154981
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_p_probe_p_university_whole/20260723-214410/events.out.tfevents.1784814250.ml-ubuntu22-04-desktop-v3-2-128gb-25m.174894.0,multi5_permute,probe_formal,426906
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_q_probe_q_birth_city_first/20260723-211030/events.out.tfevents.1784812230.ml-ubuntu22-04-desktop-v3-2-128gb-25m.161859.0,multi5_permute,probe_formal,128542
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_q_probe_q_birth_city_whole/20260723-212549/events.out.tfevents.1784813149.ml-ubuntu22-04-desktop-v3-2-128gb-25m.167511.0,multi5_permute,probe_formal,367478
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_q_probe_q_birth_date_first/20260723-211030/events.out.tfevents.1784812230.ml-ubuntu22-04-desktop-v3-2-128gb-25m.161857.0,multi5_permute,probe_formal,128542
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_q_probe_q_company_city_first/20260723-231842/events.out.tfevents.1784819922.ml-ubuntu22-04-desktop-v3-2-128gb-25m.197076.0,multi5_permute,probe_formal,128542
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_q_probe_q_company_city_whole/20260723-233344/events.out.tfevents.1784820824.ml-ubuntu22-04-desktop-v3-2-128gb-25m.201932.0,multi5_permute,probe_formal,367478
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_q_probe_q_company_first/20260723-223200/events.out.tfevents.1784817120.ml-ubuntu22-04-desktop-v3-2-128gb-25m.186539.0,multi5_permute,probe_formal,128542
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_q_probe_q_company_whole/20260723-224941/events.out.tfevents.1784818181.ml-ubuntu22-04-desktop-v3-2-128gb-25m.190464.0,multi5_permute,probe_formal,367478
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_q_probe_q_major_first/20260723-221445/events.out.tfevents.1784816085.ml-ubuntu22-04-desktop-v3-2-128gb-25m.182486.0,multi5_permute,probe_formal,128542
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_q_probe_q_major_whole/20260723-222943/events.out.tfevents.1784816983.ml-ubuntu22-04-desktop-v3-2-128gb-25m.185882.0,multi5_permute,probe_formal,367478
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_q_probe_q_university_first/20260723-212921/events.out.tfevents.1784813361.ml-ubuntu22-04-desktop-v3-2-128gb-25m.169179.0,multi5_permute,probe_formal,128542
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/training/operation_logs/synbios_q_probe_q_university_whole/20260723-214708/events.out.tfevents.1784814428.ml-ubuntu22-04-desktop-v3-2-128gb-25m.176057.0,multi5_permute,probe_formal,367478
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_p_probe_validation_p_birth_city_first/20260724-002144/events.out.tfevents.1784823704.ml-ubuntu22-04-desktop-v3-2-128gb-25m.217992.0,multi5_permute,probe_formal,16815
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_p_probe_validation_p_birth_city_whole/20260724-002202/events.out.tfevents.1784823722.ml-ubuntu22-04-desktop-v3-2-128gb-25m.218466.0,multi5_permute,probe_formal,16912
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_p_probe_validation_p_birth_date_first/20260724-002144/events.out.tfevents.1784823704.ml-ubuntu22-04-desktop-v3-2-128gb-25m.217990.0,multi5_permute,probe_formal,16815
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_p_probe_validation_p_company_city_first/20260724-002940/events.out.tfevents.1784824180.ml-ubuntu22-04-desktop-v3-2-128gb-25m.223135.0,multi5_permute,probe_formal,16815
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_p_probe_validation_p_company_city_whole/20260724-003001/events.out.tfevents.1784824201.ml-ubuntu22-04-desktop-v3-2-128gb-25m.223451.0,multi5_permute,probe_formal,17493
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_p_probe_validation_p_company_first/20260724-002633/events.out.tfevents.1784823993.ml-ubuntu22-04-desktop-v3-2-128gb-25m.221361.0,multi5_permute,probe_formal,16815
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_p_probe_validation_p_company_whole/20260724-002924/events.out.tfevents.1784824164.ml-ubuntu22-04-desktop-v3-2-128gb-25m.222888.0,multi5_permute,probe_formal,17589
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_p_probe_validation_p_major_first/20260724-002544/events.out.tfevents.1784823944.ml-ubuntu22-04-desktop-v3-2-128gb-25m.220544.0,multi5_permute,probe_formal,16815
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_p_probe_validation_p_major_whole/20260724-002600/events.out.tfevents.1784823960.ml-ubuntu22-04-desktop-v3-2-128gb-25m.220846.0,multi5_permute,probe_formal,16847
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_p_probe_validation_p_university_first/20260724-002220/events.out.tfevents.1784823740.ml-ubuntu22-04-desktop-v3-2-128gb-25m.218698.0,multi5_permute,probe_formal,16815
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_p_probe_validation_p_university_whole/20260724-002529/events.out.tfevents.1784823929.ml-ubuntu22-04-desktop-v3-2-128gb-25m.220260.0,multi5_permute,probe_formal,16944
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_q_probe_validation_q_birth_city_first/20260724-002144/events.out.tfevents.1784823704.ml-ubuntu22-04-desktop-v3-2-128gb-25m.217993.0,multi5_permute,probe_formal,5927
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_q_probe_validation_q_birth_city_whole/20260724-002202/events.out.tfevents.1784823722.ml-ubuntu22-04-desktop-v3-2-128gb-25m.218467.0,multi5_permute,probe_formal,5927
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_q_probe_validation_q_birth_date_first/20260724-002144/events.out.tfevents.1784823704.ml-ubuntu22-04-desktop-v3-2-128gb-25m.217991.0,multi5_permute,probe_formal,5927
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_q_probe_validation_q_company_city_first/20260724-002944/events.out.tfevents.1784824184.ml-ubuntu22-04-desktop-v3-2-128gb-25m.223256.0,multi5_permute,probe_formal,5927
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_q_probe_validation_q_company_city_whole/20260724-003009/events.out.tfevents.1784824209.ml-ubuntu22-04-desktop-v3-2-128gb-25m.223599.0,multi5_permute,probe_formal,5927
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_q_probe_validation_q_company_first/20260724-002911/events.out.tfevents.1784824151.ml-ubuntu22-04-desktop-v3-2-128gb-25m.222677.0,multi5_permute,probe_formal,5927
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_q_probe_validation_q_company_whole/20260724-002928/events.out.tfevents.1784824168.ml-ubuntu22-04-desktop-v3-2-128gb-25m.222993.0,multi5_permute,probe_formal,5927
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_q_probe_validation_q_major_first/20260724-002600/events.out.tfevents.1784823960.ml-ubuntu22-04-desktop-v3-2-128gb-25m.220845.0,multi5_permute,probe_formal,5927
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_q_probe_validation_q_major_whole/20260724-002617/events.out.tfevents.1784823977.ml-ubuntu22-04-desktop-v3-2-128gb-25m.221169.0,multi5_permute,probe_formal,5927
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_q_probe_validation_q_university_first/20260724-002527/events.out.tfevents.1784823927.ml-ubuntu22-04-desktop-v3-2-128gb-25m.220215.0,multi5_permute,probe_formal,5927
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/formal/validation/operation_logs/synbios_q_probe_validation_q_university_whole/20260724-002543/events.out.tfevents.1784823943.ml-ubuntu22-04-desktop-v3-2-128gb-25m.220499.0,multi5_permute,probe_formal,5927
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/pilot/operation_logs/synbios_probe_pipeline_probe_pipeline/20260723-155052/events.out.tfevents.1784793052.ml-ubuntu22-04-desktop-v3-2-128gb-25m.59114.0,multi5_permute,probe_pilot,2886424
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/pilot/training/operation_logs/synbios_p_probe_p_birth_city_first/20260723-155055/events.out.tfevents.1784793055.ml-ubuntu22-04-desktop-v3-2-128gb-25m.59211.0,multi5_permute,probe_pilot,121358
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/pilot/training/operation_logs/synbios_p_probe_p_birth_city_whole/20260723-160209/events.out.tfevents.1784793730.ml-ubuntu22-04-desktop-v3-2-128gb-25m.62987.0,multi5_permute,probe_pilot,125601
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/pilot/training/operation_logs/synbios_p_probe_p_birth_date_first/20260723-155055/events.out.tfevents.1784793055.ml-ubuntu22-04-desktop-v3-2-128gb-25m.59209.0,multi5_permute,probe_pilot,121342
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/pilot/training/operation_logs/synbios_p_probe_p_company_city_first/20260723-164334/events.out.tfevents.1784796214.ml-ubuntu22-04-desktop-v3-2-128gb-25m.77508.0,multi5_permute,probe_pilot,121840
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/pilot/training/operation_logs/synbios_p_probe_p_company_city_whole/20260723-165431/events.out.tfevents.1784796871.ml-ubuntu22-04-desktop-v3-2-128gb-25m.81190.0,multi5_permute,probe_pilot,128771
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/pilot/training/operation_logs/synbios_p_probe_p_company_first/20260723-163148/events.out.tfevents.1784795508.ml-ubuntu22-04-desktop-v3-2-128gb-25m.73380.0,multi5_permute,probe_pilot,121426
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/pilot/training/operation_logs/synbios_p_probe_p_company_whole/20260723-163941/events.out.tfevents.1784795981.ml-ubuntu22-04-desktop-v3-2-128gb-25m.75982.0,multi5_permute,probe_pilot,128801
formal_runs/synbios_moe/results/multi5_permute_fsdp_4gpu/probe_pipeline/pilot/training/operation_logs/synbios_p_probe_p_major_first/20260723-161711/events.out.tfevents.1784794631.ml-ubuntu22-04-desktop-v3-2-128gb-25m.68343.0,multi5_permute,probe_pilot,121392
