attribute,token_position,token_id,token_text,profile_count,profile_probability,conditional_probability_when_present,unique_value_count
birth_date,5,5333,61,488,0.00488,0.013516882253552336,260
birth_date,5,1983,27,488,0.00488,0.013516882253552336,257
birth_date,5,3459,88,487,0.00487,0.013489183724344237,252
birth_date,5,5237,62,487,0.00487,0.013489183724344237,248
birth_date,5,3720,79,487,0.00487,0.013489183724344237,242
birth_date,5,4761,72,486,0.00486,0.013461485195136139,262
birth_date,5,1899,60,486,0.00486,0.013461485195136139,252
birth_date,5,2791,66,485,0.00485,0.01343378666592804,249
birth_date,5,2624,32,485,0.00485,0.01343378666592804,254
birth_date,5,2327,35,485,0.00485,0.01343378666592804,254
birth_date,5,3980,56,485,0.00485,0.01343378666592804,260
birth_date,5,2857,47,484,0.00484,0.013406088136719941,256
birth_date,5,5824,94,484,0.00484,0.013406088136719941,245
birth_date,5,3365,58,484,0.00484,0.013406088136719941,248
birth_date,5,1795,80,483,0.00483,0.01337838960751184,252
birth_date,5,3865,95,479,0.00479,0.013267595490679445,245
birth_date,5,5774,87,478,0.00478,0.013239896961471346,253
birth_date,5,4304,76,475,0.00475,0.013156801373847048,255
birth_date,5,2996,65,469,0.00469,0.012990610198598455,258
birth_date,5,2231,45,468,0.00468,0.012962911669390356,235
birth_date,5,3270,59,466,0.00466,0.012907514610974157,253
birth_date,5,4089,98,463,0.00463,0.01282441902334986,256
birth_date,5,3829,90,461,0.00461,0.012769021964933663,236
birth_date,5,3104,68,455,0.00455,0.012602830789685068,254
birth_date,5,4531,89,448,0.00448,0.012408941085228374,247
birth_city,1,10727, Portland,5153,0.05153,0.05153,10
birth_city,1,14909, Madison,5126,0.05126,0.05126,10
birth_city,1,10656, Denver,5091,0.05091,0.05091,10
birth_city,1,39927, Fresno,5086,0.05086,0.05086,10
birth_city,1,29285, Albany,5071,0.05071,0.05071,10
birth_city,1,8437, Miami,5041,0.05041,0.05041,10
birth_city,1,12369, Oakland,5032,0.05032,0.05032,10
birth_city,1,6182, Boston,5028,0.05028,0.05028,10
birth_city,1,34520, Raleigh,5016,0.05016,0.05016,10
birth_city,1,9533, Austin,4992,0.04992,0.04992,10
birth_city,1,14457, Cambridge,4971,0.04971,0.04971,10
birth_city,1,30928, Durham,4956,0.04956,0.04956,10
birth_city,1,4842, Chicago,4954,0.04954,0.04954,10
birth_city,1,9371, Atlanta,4953,0.04953,0.04953,10
birth_city,1,7312, Seattle,4946,0.04946,0.04946,10
birth_city,1,13117, Orlando,4942,0.04942,0.04942,10
birth_city,1,9643, Phoenix,4933,0.04933,0.04933,10
birth_city,1,8533, Dallas,4846,0.04846,0.04846,10
birth_city,1,45132, Tacoma,4796,0.04796,0.04796,10
birth_city,1,23173, Princeton,4550,0.0455,0.0455,9
birth_city,1,968, New,517,0.00517,0.00517,1
birth_city,2,17,2,10143,0.10143,0.10143,20
birth_city,2,19,4,10135,0.10135,0.10135,20
birth_city,2,23,8,10053,0.10053,0.10053,20
birth_city,2,21,6,10024,0.10024,0.10024,20
birth_city,2,24,9,9991,0.09991,0.09991,20
birth_city,2,18,3,9980,0.0998,0.0998,20
birth_city,2,20,5,9940,0.0994,0.0994,20
birth_city,2,22,7,9891,0.09891,0.09891,20
birth_city,2,16,1,9883,0.09883,0.09883,20
birth_city,2,11,",",9443,0.09443,0.09443,19
birth_city,2,1971, York,517,0.00517,0.00517,1
birth_city,3,11,",",90557,0.90557,0.90557,181
birth_city,3,8779, MA,1031,0.01031,0.01031,2
birth_city,3,15326, TX,1018,0.01018,0.01018,2
birth_city,3,18723, OH,1012,0.01012,0.01012,2
birth_city,3,8147, PA,1004,0.01004,0.01004,2
birth_city,3,14545, GA,1000,0.01,0.01,2
birth_city,3,14639, IL,999,0.00999,0.00999,2
birth_city,3,6645, NY,982,0.00982,0.00982,2
birth_city,3,8823, NC,944,0.00944,0.00944,2
birth_city,3,16400, WA,942,0.00942,0.00942,2
birth_city,3,7257, CA,511,0.00511,0.00511,1
birth_city,4,6645, NY,9534,0.09534,0.10528175624192497,19
birth_city,4,18723, OH,9227,0.09227,0.10189162626853805,18
birth_city,4,8147, PA,9064,0.09064,0.10009165497973652,18
birth_city,4,14545, GA,9027,0.09027,0.09968307253994721,18
birth_city,4,16400, WA,8995,0.08995,0.09932970394337268,18
birth_city,4,8779, MA,8993,0.08993,0.09930761840608678,18
birth_city,4,7257, CA,8993,0.08993,0.09930761840608678,18
birth_city,4,14639, IL,8975,0.08975,0.0991088485705136,18
birth_city,4,15326, TX,8881,0.08881,0.09807082831807591,18
birth_city,4,8823, NC,8868,0.08868,0.0979272723257175,18
university,1,7312, Seattle,5143,0.05143,0.05143,15
university,1,9371, Atlanta,5071,0.05071,0.05071,15
university,1,8437, Miami,5062,0.05062,0.05062,15
university,1,34520, Raleigh,5055,0.05055,0.05055,15
university,1,29285, Albany,5050,0.0505,0.0505,15
university,1,14909, Madison,5034,0.05034,0.05034,15
university,1,12369, Oakland,5027,0.05027,0.05027,15
university,1,10727, Portland,5021,0.05021,0.05021,15
university,1,13117, Orlando,5021,0.05021,0.05021,15
university,1,10656, Denver,5014,0.05014,0.05014,15
university,1,39927, Fresno,5004,0.05004,0.05004,15
university,1,23173, Princeton,4995,0.04995,0.04995,15
university,1,8533, Dallas,4993,0.04993,0.04993,15
university,1,9643, Phoenix,4966,0.04966,0.04966,15
university,1,6182, Boston,4962,0.04962,0.04962,15
university,1,14457, Cambridge,4961,0.04961,0.04961,15
university,1,45132, Tacoma,4957,0.04957,0.04957,15
university,1,9533, Austin,4923,0.04923,0.04923,15
university,1,30928, Durham,4899,0.04899,0.04899,15
university,1,4842, Chicago,4842,0.04842,0.04842,15
university,2,1415,14,6761,0.06761,0.06761,20
university,2,23,8,6704,0.06704,0.06704,20
university,2,19,4,6702,0.06702,0.06702,20
university,2,1065,12,6689,0.06689,0.06689,20
university,2,18,3,6682,0.06682,0.06682,20
university,2,21,6,6681,0.06681,0.06681,20
university,2,1485,13,6675,0.06675,0.06675,20
university,2,16,1,6662,0.06662,0.06662,20
university,2,1157,11,6657,0.06657,0.06657,20
university,2,22,7,6657,0.06657,0.06657,20
university,2,20,5,6651,0.06651,0.06651,20
university,2,24,9,6638,0.06638,0.06638,20
university,2,17,2,6628,0.06628,0.06628,20
university,2,2059, University,6623,0.06623,0.06623,20
university,2,940,10,6590,0.0659,0.0659,20
university,3,2059, University,93377,0.93377,1.0,280
major,1,39448, Mathematics,5134,0.05134,0.05134,5
major,1,26099, Philosophy,5118,0.05118,0.05118,5
major,1,14620, Communications,5095,0.05095,0.05095,5
major,1,14370, Statistics,5090,0.0509,0.0509,5
major,1,14611, Political,5084,0.05084,0.05084,5
major,1,29778, Architecture,5082,0.05082,0.05082,5
major,1,24698, Biology,5045,0.05045,0.05045,5
major,1,23123, Physics,5014,0.05014,0.05014,5
major,1,18430, Psychology,5014,0.05014,0.05014,5
major,1,7849, Music,5012,0.05012,0.05012,5
major,1,13851, Computer,5005,0.05005,0.05005,5
major,1,14044, Engineering,4981,0.04981,0.04981,5
major,1,18963, Economics,4973,0.04973,0.04973,5
major,1,406, L,4960,0.0496,0.0496,5
major,1,8495, Design,4958,0.04958,0.04958,5
major,1,15007, Finance,4955,0.04955,0.04955,5
major,1,31339, Soci,4904,0.04904,0.04904,5
major,1,27867, Chemistry,4886,0.04886,0.04886,5
major,1,7443, History,4863,0.04863,0.04863,5
major,1,6060, Data,4827,0.04827,0.04827,5
major,2,18,3,15101,0.15101,0.1780274450627181,15
major,2,16,1,15057,0.15057,0.177508723946053,15
major,2,19,4,14965,0.14965,0.17642412524757145,15
major,2,17,2,14921,0.14921,0.17590540413090636,15
major,2,5800, Science,14916,0.14916,0.17584645854946712,15
major,2,6680,ingu,4960,0.0496,0.058474016787701595,5
major,2,1435,ology,4904,0.04904,0.05781382627558238,5
major,3,3969,istics,4960,0.0496,0.23751376717904515,5
major,3,16,1,4052,0.04052,0.19403342431642964,4
major,3,19,4,4045,0.04045,0.19369822343533016,4
major,3,17,2,3926,0.03926,0.18799980845663938,4
major,3,18,3,3900,0.039,0.18675477661255566,4
major,4,19,4,1015,0.01015,0.25657229524772496,1
major,4,18,3,994,0.00994,0.2512639029322548,1
major,4,16,1,979,0.00979,0.2474721941354904,1
major,4,17,2,968,0.00968,0.24469160768452983,1
company,1,33925, Rooney,5437,0.05437,0.05437,14
company,1,1114, For,5370,0.0537,0.0537,14
company,1,520, St,5314,0.05314,0.05314,14
company,1,11768, Cole,5057,0.05057,0.05057,13
company,1,17704, Brooks,5039,0.05039,0.05039,13
company,1,11345, Hart,5031,0.05031,0.05031,13
company,1,18489, Foster,5026,0.05026,0.05026,13
company,1,16902, Dennis,5020,0.0502,0.0502,13
company,1,12150, Ward,4949,0.04949,0.04949,13
company,1,12723, Gray,4948,0.04948,0.04948,13
company,1,15016, Lane,4938,0.04938,0.04938,13
company,1,25109, Hayes,4922,0.04922,0.04922,13
company,1,8026, Stone,4909,0.04909,0.04909,13
company,1,16105, Reed,4902,0.04902,0.04902,13
company,1,17468, Bennett,4881,0.04881,0.04881,13
company,1,19136, Wade,4876,0.04876,0.04876,13
company,1,10831, Carter,4866,0.04866,0.04866,13
company,1,6372, Cross,4844,0.04844,0.04844,13
company,1,22102, Kenny,4841,0.04841,0.04841,13
company,1,7886, Price,4830,0.0483,0.0483,13
company,2,19,4,7038,0.07038,0.07038,18
company,2,940,10,7013,0.07013,0.07013,18
company,2,1065,12,6885,0.06885,0.06885,18
company,2,21,6,6868,0.06868,0.06868,18
company,2,1157,11,6846,0.06846,0.06846,18
company,2,18,3,6823,0.06823,0.06823,18
company,2,22,7,6821,0.06821,0.06821,18
company,2,16,1,6808,0.06808,0.06808,18
company,2,4912, Group,6787,0.06787,0.06787,18
company,2,17,2,6783,0.06783,0.06783,18
company,2,20,5,6782,0.06782,0.06782,18
company,2,24,9,6778,0.06778,0.06778,18
company,2,23,8,6704,0.06704,0.06704,18
company,2,1362,ger,5370,0.0537,0.0537,14
company,2,3369,okes,5314,0.05314,0.05314,14
company,2,1485,13,380,0.0038,0.0038,1
company,3,4912, Group,83300,0.833,0.8936521729801638,219
company,3,16,1,821,0.00821,0.008807784321929345,2
company,3,20,5,808,0.00808,0.00866831879673436,2
company,3,21,6,802,0.00802,0.008603950092798214,2
company,3,19,4,791,0.00791,0.008485940802248614,2
company,3,1485,13,778,0.00778,0.008346475277053629,2
company,3,940,10,757,0.00757,0.008121184813277118,2
company,3,24,9,753,0.00753,0.008078272343986354,2
company,3,22,7,750,0.0075,0.00804608799201828,2
company,3,17,2,750,0.0075,0.00804608799201828,2
company,3,18,3,747,0.00747,0.008013903640050208,2
company,3,23,8,730,0.0073,0.00783152564556446,2
company,3,1065,12,715,0.00715,0.0076706038857240946,2
company,3,1157,11,711,0.00711,0.00762769141643333,2
company,4,4912, Group,9913,0.09913,1.0,26
company_city,1,968, New,13673,0.13673,0.13673,1
company_city,1,14457, Cambridge,7536,0.07536,0.07536,10
company_city,1,8533, Dallas,6397,0.06397,0.06397,10
company_city,1,34520, Raleigh,6190,0.0619,0.0619,10
company_city,1,10727, Portland,5014,0.05014,0.05014,10
company_city,1,8437, Miami,4546,0.04546,0.04546,10
company_city,1,9533, Austin,3947,0.03947,0.03947,10
company_city,1,30928, Durham,3906,0.03906,0.03906,10
company_city,1,7312, Seattle,3856,0.03856,0.03856,10
company_city,1,9643, Phoenix,3825,0.03825,0.03825,10
company_city,1,13117, Orlando,3817,0.03817,0.03817,10
company_city,1,12369, Oakland,3813,0.03813,0.03813,10
company_city,1,6182, Boston,3799,0.03799,0.03799,10
company_city,1,45132, Tacoma,3785,0.03785,0.03785,10
company_city,1,14909, Madison,3774,0.03774,0.03774,10
company_city,1,10656, Denver,3771,0.03771,0.03771,10
company_city,1,9371, Atlanta,3768,0.03768,0.03768,10
company_city,1,39927, Fresno,3760,0.0376,0.0376,10
company_city,1,4842, Chicago,3745,0.03745,0.03745,10
company_city,1,29285, Albany,3742,0.03742,0.03742,10
company_city,1,23173, Princeton,3336,0.03336,0.03336,9
company_city,2,1971, York,13673,0.13673,0.13673,1
company_city,2,16,1,8811,0.08811,0.08811,20
company_city,2,23,8,8798,0.08798,0.08798,20
company_city,2,18,3,8793,0.08793,0.08793,20
company_city,2,24,9,8775,0.08775,0.08775,20
company_city,2,22,7,8717,0.08717,0.08717,20
company_city,2,20,5,8713,0.08713,0.08713,20
company_city,2,19,4,8683,0.08683,0.08683,20
company_city,2,11,",",8504,0.08504,0.08504,19
company_city,2,21,6,8305,0.08305,0.08305,20
company_city,2,17,2,8228,0.08228,0.08228,20
company_city,3,11,",",91496,0.91496,0.91496,181
company_city,3,14639, IL,1203,0.01203,0.01203,2
company_city,3,8823, NC,1147,0.01147,0.01147,2
company_city,3,6645, NY,1140,0.0114,0.0114,2
company_city,3,16400, WA,818,0.00818,0.00818,2
company_city,3,8779, MA,778,0.00778,0.00778,2
company_city,3,15326, TX,767,0.00767,0.00767,2
company_city,3,18723, OH,760,0.0076,0.0076,2
company_city,3,14545, GA,752,0.00752,0.00752,2
company_city,3,8147, PA,732,0.00732,0.00732,2
company_city,3,7257, CA,407,0.00407,0.00407,1
company_city,4,6645, NY,23868,0.23868,0.2608638629011104,19
company_city,4,16400, WA,9350,0.0935,0.10219025968348343,18
company_city,4,8823, NC,8828,0.08828,0.0964850922444697,18
company_city,4,18723, OH,8014,0.08014,0.08758852846026056,18
company_city,4,14639, IL,7168,0.07168,0.07834222261082452,18
company_city,4,8779, MA,6982,0.06982,0.07630934685669319,18
company_city,4,14545, GA,6896,0.06896,0.07536941505639591,18
company_city,4,8147, PA,6859,0.06859,0.07496502579347732,18
company_city,4,15326, TX,6857,0.06857,0.07494316691440063,18
company_city,4,7257, CA,6674,0.06674,0.07294307947888433,18
